date,sku,name,category,units_sold,unit_price,revenue,phase
2023-08-22,DRK-STR,Strawberry Milk,Custom Drink,1,3.75,3.75,baseline
2023-08-22,DRK-CHI,Chia Lemonade,Custom Drink,2,3.75,7.5,baseline
2023-08-22,ENR-RBU,Red Bull Original,Energy Drink,1,3.75,3.75,baseline
2023-08-22,ENR-RBS,Red Bull Sugar Free,Energy Drink,3,3.75,11.25,baseline
2023-08-22,ENR-MTN,Monster Energy,Energy Drink,1,3.5,3.5,baseline
2023-08-22,ENR-CEL,Celsius,Energy Drink,1,3.25,3.25,baseline
2023-08-22,SFT-WAT,Water Bottle,Soft Drink,9,1.25,11.25,baseline
2023-08-22,SFT-COK,Coca-Cola,Soft Drink,3,1.75,5.25,baseline
2023-08-22,SFT-SPR,Sprite,Soft Drink,4,1.75,7.0,baseline
2023-08-22,SFT-DRP,Dr Pepper,Soft Drink,1,1.75,1.75,baseline
2023-08-22,SFT-LEM,Lemonade,Soft Drink,2,1.75,3.5,baseline
2023-08-22,SNK-CHC,Chocolate Chip Cookie,Baked Good,2,2.0,4.0,baseline
2023-08-22,SNK-BRW,Brownie,Baked Good,1,2.5,2.5,baseline
2023-08-22,SNK-SUG,Sugar Cookie,Baked Good,2,2.0,4.0,baseline
2023-08-22,SNK-PMP,Pumpkin Muffin,Baked Good,2,2.75,5.5,baseline
2023-08-22,CND-GUM,Orbit Gum,Candy & Gum,4,1.5,6.0,baseline
2023-08-22,CND-RBB,Sour Patch Kids,Candy & Gum,1,2.0,2.0,baseline
2023-08-22,CND-STB,Starburst,Candy & Gum,1,1.75,1.75,baseline
2023-08-22,CND-MNT,Altoids,Candy & Gum,1,2.0,2.0,baseline
2023-08-22,CHP-LAY,Lays Classic,Chips,3,1.5,4.5,baseline
2023-08-22,CHP-DRT,Doritos Nacho,Chips,4,1.5,6.0,baseline
2023-08-22,CHP-PRT,Pretzels,Chips,1,1.25,1.25,baseline
2023-08-22,CHP-POP,Popcorn,Chips,2,1.25,2.5,baseline
2023-08-23,ITS-STR,Strawberry Italian Soda,Italian Soda,4,3.5,14.0,baseline
2023-08-23,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-23,ITS-BLU,Blueberry Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-23,ITS-PEA,Peach Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-23,DRK-MAT,Matcha Lemonade,Custom Drink,3,4.25,12.75,baseline
2023-08-23,ENR-RBU,Red Bull Original,Energy Drink,7,3.75,26.25,baseline
2023-08-23,ENR-RBS,Red Bull Sugar Free,Energy Drink,4,3.75,15.0,baseline
2023-08-23,ENR-CEL,Celsius,Energy Drink,3,3.25,9.75,baseline
2023-08-23,SFT-WAT,Water Bottle,Soft Drink,8,1.25,10.0,baseline
2023-08-23,SFT-COK,Coca-Cola,Soft Drink,7,1.75,12.25,baseline
2023-08-23,SFT-SPR,Sprite,Soft Drink,5,1.75,8.75,baseline
2023-08-23,SFT-DRP,Dr Pepper,Soft Drink,5,1.75,8.75,baseline
2023-08-23,SFT-LEM,Lemonade,Soft Drink,1,1.75,1.75,baseline
2023-08-23,SNK-CHC,Chocolate Chip Cookie,Baked Good,4,2.0,8.0,baseline
2023-08-23,SNK-BRW,Brownie,Baked Good,2,2.5,5.0,baseline
2023-08-23,SNK-SUG,Sugar Cookie,Baked Good,3,2.0,6.0,baseline
2023-08-23,SNK-PMP,Pumpkin Muffin,Baked Good,1,2.75,2.75,baseline
2023-08-23,SNK-RCK,Rice Krispie Treat,Baked Good,3,1.5,4.5,baseline
2023-08-23,CND-GUM,Orbit Gum,Candy & Gum,2,1.5,3.0,baseline
2023-08-23,CND-RBB,Sour Patch Kids,Candy & Gum,4,2.0,8.0,baseline
2023-08-23,CND-SKT,Skittles,Candy & Gum,2,1.75,3.5,baseline
2023-08-23,CND-STB,Starburst,Candy & Gum,3,1.75,5.25,baseline
2023-08-23,CHP-DRT,Doritos Nacho,Chips,6,1.5,9.0,baseline
2023-08-23,CHP-POP,Popcorn,Chips,1,1.25,1.25,baseline
2023-08-24,ITS-STR,Strawberry Italian Soda,Italian Soda,4,3.5,14.0,baseline
2023-08-24,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-24,ITS-BLU,Blueberry Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-24,ITS-PEA,Peach Italian Soda,Italian Soda,2,3.5,7.0,baseline
2023-08-24,DRK-MAT,Matcha Lemonade,Custom Drink,3,4.25,12.75,baseline
2023-08-24,DRK-STR,Strawberry Milk,Custom Drink,1,3.75,3.75,baseline
2023-08-24,DRK-CHI,Chia Lemonade,Custom Drink,1,3.75,3.75,baseline
2023-08-24,ENR-RBU,Red Bull Original,Energy Drink,7,3.75,26.25,baseline
2023-08-24,ENR-RBS,Red Bull Sugar Free,Energy Drink,1,3.75,3.75,baseline
2023-08-24,ENR-MTN,Monster Energy,Energy Drink,6,3.5,21.0,baseline
2023-08-24,ENR-CEL,Celsius,Energy Drink,4,3.25,13.0,baseline
2023-08-24,SFT-WAT,Water Bottle,Soft Drink,16,1.25,20.0,baseline
2023-08-24,SFT-COK,Coca-Cola,Soft Drink,5,1.75,8.75,baseline
2023-08-24,SFT-SPR,Sprite,Soft Drink,5,1.75,8.75,baseline
2023-08-24,SFT-DRP,Dr Pepper,Soft Drink,2,1.75,3.5,baseline
2023-08-24,SFT-LEM,Lemonade,Soft Drink,3,1.75,5.25,baseline
2023-08-24,SNK-CHC,Chocolate Chip Cookie,Baked Good,6,2.0,12.0,baseline
2023-08-24,SNK-BRW,Brownie,Baked Good,1,2.5,2.5,baseline
2023-08-24,SNK-SUG,Sugar Cookie,Baked Good,2,2.0,4.0,baseline
2023-08-24,SNK-PMP,Pumpkin Muffin,Baked Good,2,2.75,5.5,baseline
2023-08-24,CND-GUM,Orbit Gum,Candy & Gum,2,1.5,3.0,baseline
2023-08-24,CND-RBB,Sour Patch Kids,Candy & Gum,3,2.0,6.0,baseline
2023-08-24,CND-SKT,Skittles,Candy & Gum,2,1.75,3.5,baseline
2023-08-24,CND-STB,Starburst,Candy & Gum,1,1.75,1.75,baseline
2023-08-24,CND-MNT,Altoids,Candy & Gum,2,2.0,4.0,baseline
2023-08-24,CHP-LAY,Lays Classic,Chips,5,1.5,7.5,baseline
2023-08-24,CHP-DRT,Doritos Nacho,Chips,3,1.5,4.5,baseline
2023-08-24,CHP-PRT,Pretzels,Chips,1,1.25,1.25,baseline
2023-08-24,CHP-POP,Popcorn,Chips,1,1.25,1.25,baseline
2023-08-25,ITS-STR,Strawberry Italian Soda,Italian Soda,4,3.5,14.0,baseline
2023-08-25,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-25,ITS-BLU,Blueberry Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-25,DRK-MAT,Matcha Lemonade,Custom Drink,1,4.25,4.25,baseline
2023-08-25,DRK-STR,Strawberry Milk,Custom Drink,3,3.75,11.25,baseline
2023-08-25,ENR-RBU,Red Bull Original,Energy Drink,3,3.75,11.25,baseline
2023-08-25,ENR-RBS,Red Bull Sugar Free,Energy Drink,4,3.75,15.0,baseline
2023-08-25,ENR-MTN,Monster Energy,Energy Drink,1,3.5,3.5,baseline
2023-08-25,ENR-CEL,Celsius,Energy Drink,6,3.25,19.5,baseline
2023-08-25,SFT-WAT,Water Bottle,Soft Drink,8,1.25,10.0,baseline
2023-08-25,SFT-COK,Coca-Cola,Soft Drink,2,1.75,3.5,baseline
2023-08-25,SFT-SPR,Sprite,Soft Drink,2,1.75,3.5,baseline
2023-08-25,SFT-DRP,Dr Pepper,Soft Drink,2,1.75,3.5,baseline
2023-08-25,SFT-LEM,Lemonade,Soft Drink,1,1.75,1.75,baseline
2023-08-25,SNK-CHC,Chocolate Chip Cookie,Baked Good,5,2.0,10.0,baseline
2023-08-25,SNK-BRW,Brownie,Baked Good,3,2.5,7.5,baseline
2023-08-25,SNK-SUG,Sugar Cookie,Baked Good,2,2.0,4.0,baseline
2023-08-25,SNK-PMP,Pumpkin Muffin,Baked Good,1,2.75,2.75,baseline
2023-08-25,CND-GUM,Orbit Gum,Candy & Gum,4,1.5,6.0,baseline
2023-08-25,CND-RBB,Sour Patch Kids,Candy & Gum,3,2.0,6.0,baseline
2023-08-25,CND-STB,Starburst,Candy & Gum,2,1.75,3.5,baseline
2023-08-25,CHP-LAY,Lays Classic,Chips,3,1.5,4.5,baseline
2023-08-25,CHP-DRT,Doritos Nacho,Chips,2,1.5,3.0,baseline
2023-08-25,CHP-PRT,Pretzels,Chips,2,1.25,2.5,baseline
2023-08-25,CHP-POP,Popcorn,Chips,1,1.25,1.25,baseline
2023-08-28,ITS-STR,Strawberry Italian Soda,Italian Soda,4,3.5,14.0,baseline
2023-08-28,ITS-BLU,Blueberry Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-28,DRK-MAT,Matcha Lemonade,Custom Drink,1,4.25,4.25,baseline
2023-08-28,DRK-STR,Strawberry Milk,Custom Drink,2,3.75,7.5,baseline
2023-08-28,ENR-RBU,Red Bull Original,Energy Drink,6,3.75,22.5,baseline
2023-08-28,ENR-RBS,Red Bull Sugar Free,Energy Drink,1,3.75,3.75,baseline
2023-08-28,ENR-CEL,Celsius,Energy Drink,1,3.25,3.25,baseline
2023-08-28,SFT-WAT,Water Bottle,Soft Drink,6,1.25,7.5,baseline
2023-08-28,SFT-COK,Coca-Cola,Soft Drink,5,1.75,8.75,baseline
2023-08-28,SFT-SPR,Sprite,Soft Drink,3,1.75,5.25,baseline
2023-08-28,SFT-DRP,Dr Pepper,Soft Drink,4,1.75,7.0,baseline
2023-08-28,SFT-LEM,Lemonade,Soft Drink,1,1.75,1.75,baseline
2023-08-28,SNK-CHC,Chocolate Chip Cookie,Baked Good,2,2.0,4.0,baseline
2023-08-28,SNK-BRW,Brownie,Baked Good,3,2.5,7.5,baseline
2023-08-28,SNK-SUG,Sugar Cookie,Baked Good,1,2.0,2.0,baseline
2023-08-28,CND-GUM,Orbit Gum,Candy & Gum,2,1.5,3.0,baseline
2023-08-28,CND-RBB,Sour Patch Kids,Candy & Gum,2,2.0,4.0,baseline
2023-08-28,CND-SKT,Skittles,Candy & Gum,1,1.75,1.75,baseline
2023-08-28,CND-STB,Starburst,Candy & Gum,1,1.75,1.75,baseline
2023-08-28,CHP-LAY,Lays Classic,Chips,4,1.5,6.0,baseline
2023-08-28,CHP-DRT,Doritos Nacho,Chips,4,1.5,6.0,baseline
2023-08-28,CHP-PRT,Pretzels,Chips,3,1.25,3.75,baseline
2023-08-28,CHP-POP,Popcorn,Chips,1,1.25,1.25,baseline
2023-08-29,ITS-STR,Strawberry Italian Soda,Italian Soda,4,3.5,14.0,baseline
2023-08-29,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-29,ITS-COC,Coconut Italian Soda,Italian Soda,2,3.5,7.0,baseline
2023-08-29,DRK-MAT,Matcha Lemonade,Custom Drink,3,4.25,12.75,baseline
2023-08-29,DRK-STR,Strawberry Milk,Custom Drink,1,3.75,3.75,baseline
2023-08-29,ENR-RBU,Red Bull Original,Energy Drink,5,3.75,18.75,baseline
2023-08-29,ENR-RBS,Red Bull Sugar Free,Energy Drink,3,3.75,11.25,baseline
2023-08-29,ENR-MTN,Monster Energy,Energy Drink,2,3.5,7.0,baseline
2023-08-29,ENR-CEL,Celsius,Energy Drink,3,3.25,9.75,baseline
2023-08-29,SFT-WAT,Water Bottle,Soft Drink,9,1.25,11.25,baseline
2023-08-29,SFT-COK,Coca-Cola,Soft Drink,4,1.75,7.0,baseline
2023-08-29,SFT-SPR,Sprite,Soft Drink,1,1.75,1.75,baseline
2023-08-29,SFT-DRP,Dr Pepper,Soft Drink,2,1.75,3.5,baseline
2023-08-29,SFT-LEM,Lemonade,Soft Drink,1,1.75,1.75,baseline
2023-08-29,SNK-CHC,Chocolate Chip Cookie,Baked Good,5,2.0,10.0,baseline
2023-08-29,SNK-BRW,Brownie,Baked Good,2,2.5,5.0,baseline
2023-08-29,SNK-SUG,Sugar Cookie,Baked Good,2,2.0,4.0,baseline
2023-08-29,SNK-RCK,Rice Krispie Treat,Baked Good,1,1.5,1.5,baseline
2023-08-29,CND-GUM,Orbit Gum,Candy & Gum,1,1.5,1.5,baseline
2023-08-29,CND-RBB,Sour Patch Kids,Candy & Gum,2,2.0,4.0,baseline
2023-08-29,CND-SKT,Skittles,Candy & Gum,1,1.75,1.75,baseline
2023-08-29,CND-MNT,Altoids,Candy & Gum,1,2.0,2.0,baseline
2023-08-29,CHP-LAY,Lays Classic,Chips,4,1.5,6.0,baseline
2023-08-29,CHP-DRT,Doritos Nacho,Chips,4,1.5,6.0,baseline
2023-08-29,CHP-PRT,Pretzels,Chips,2,1.25,2.5,baseline
2023-08-29,CHP-POP,Popcorn,Chips,2,1.25,2.5,baseline
2023-08-30,ITS-STR,Strawberry Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-30,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,3,3.5,10.5,baseline
2023-08-30,ITS-BLU,Blueberry Italian Soda,Italian Soda,3,3.5,10.5,baseline
2023-08-30,ITS-PEA,Peach Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-30,DRK-MAT,Matcha Lemonade,Custom Drink,4,4.25,17.0,baseline
2023-08-30,DRK-STR,Strawberry Milk,Custom Drink,3,3.75,11.25,baseline
2023-08-30,ENR-RBU,Red Bull Original,Energy Drink,4,3.75,15.0,baseline
2023-08-30,ENR-RBS,Red Bull Sugar Free,Energy Drink,6,3.75,22.5,baseline
2023-08-30,ENR-MTN,Monster Energy,Energy Drink,6,3.5,21.0,baseline
2023-08-30,ENR-CEL,Celsius,Energy Drink,2,3.25,6.5,baseline
2023-08-30,SFT-WAT,Water Bottle,Soft Drink,17,1.25,21.25,baseline
2023-08-30,SFT-COK,Coca-Cola,Soft Drink,8,1.75,14.0,baseline
2023-08-30,SFT-SPR,Sprite,Soft Drink,5,1.75,8.75,baseline
2023-08-30,SFT-DRP,Dr Pepper,Soft Drink,2,1.75,3.5,baseline
2023-08-30,SFT-LEM,Lemonade,Soft Drink,1,1.75,1.75,baseline
2023-08-30,SNK-CHC,Chocolate Chip Cookie,Baked Good,6,2.0,12.0,baseline
2023-08-30,SNK-BRW,Brownie,Baked Good,5,2.5,12.5,baseline
2023-08-30,SNK-SUG,Sugar Cookie,Baked Good,4,2.0,8.0,baseline
2023-08-30,SNK-PMP,Pumpkin Muffin,Baked Good,1,2.75,2.75,baseline
2023-08-30,CND-GUM,Orbit Gum,Candy & Gum,5,1.5,7.5,baseline
2023-08-30,CND-RBB,Sour Patch Kids,Candy & Gum,2,2.0,4.0,baseline
2023-08-30,CND-STB,Starburst,Candy & Gum,1,1.75,1.75,baseline
2023-08-30,CND-MNT,Altoids,Candy & Gum,1,2.0,2.0,baseline
2023-08-30,CHP-LAY,Lays Classic,Chips,3,1.5,4.5,baseline
2023-08-30,CHP-DRT,Doritos Nacho,Chips,5,1.5,7.5,baseline
2023-08-30,CHP-POP,Popcorn,Chips,1,1.25,1.25,baseline
2023-08-31,ITS-STR,Strawberry Italian Soda,Italian Soda,4,3.5,14.0,baseline
2023-08-31,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,2,3.5,7.0,baseline
2023-08-31,ITS-BLU,Blueberry Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-31,ITS-PEA,Peach Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-31,DRK-MAT,Matcha Lemonade,Custom Drink,3,4.25,12.75,baseline
2023-08-31,DRK-STR,Strawberry Milk,Custom Drink,2,3.75,7.5,baseline
2023-08-31,ENR-RBU,Red Bull Original,Energy Drink,6,3.75,22.5,baseline
2023-08-31,ENR-MTN,Monster Energy,Energy Drink,1,3.5,3.5,baseline
2023-08-31,ENR-CEL,Celsius,Energy Drink,2,3.25,6.5,baseline
2023-08-31,SFT-WAT,Water Bottle,Soft Drink,17,1.25,21.25,baseline
2023-08-31,SFT-COK,Coca-Cola,Soft Drink,7,1.75,12.25,baseline
2023-08-31,SFT-SPR,Sprite,Soft Drink,1,1.75,1.75,baseline
2023-08-31,SFT-DRP,Dr Pepper,Soft Drink,2,1.75,3.5,baseline
2023-08-31,SFT-LEM,Lemonade,Soft Drink,3,1.75,5.25,baseline
2023-08-31,SNK-CHC,Chocolate Chip Cookie,Baked Good,5,2.0,10.0,baseline
2023-08-31,SNK-BRW,Brownie,Baked Good,2,2.5,5.0,baseline
2023-08-31,SNK-SUG,Sugar Cookie,Baked Good,2,2.0,4.0,baseline
2023-08-31,SNK-RCK,Rice Krispie Treat,Baked Good,2,1.5,3.0,baseline
2023-08-31,CND-GUM,Orbit Gum,Candy & Gum,2,1.5,3.0,baseline
2023-08-31,CND-RBB,Sour Patch Kids,Candy & Gum,4,2.0,8.0,baseline
2023-08-31,CND-SKT,Skittles,Candy & Gum,3,1.75,5.25,baseline
2023-08-31,CND-MNT,Altoids,Candy & Gum,1,2.0,2.0,baseline
2023-08-31,CHP-LAY,Lays Classic,Chips,3,1.5,4.5,baseline
2023-08-31,CHP-DRT,Doritos Nacho,Chips,3,1.5,4.5,baseline
2023-08-31,CHP-PRT,Pretzels,Chips,2,1.25,2.5,baseline
2023-08-31,CHP-POP,Popcorn,Chips,2,1.25,2.5,baseline
2023-09-01,ITS-STR,Strawberry Italian Soda,Italian Soda,2,3.5,7.0,baseline
2023-09-01,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,3,3.5,10.5,baseline
2023-09-01,ITS-PEA,Peach Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-09-01,DRK-MAT,Matcha Lemonade,Custom Drink,3,4.25,12.75,baseline
2023-09-01,DRK-STR,Strawberry Milk,Custom Drink,1,3.75,3.75,baseline
2023-09-01,DRK-CHI,Chia Lemonade,Custom Drink,1,3.75,3.75,baseline
2023-09-01,ENR-RBU,Red Bull Original,Energy Drink,4,3.75,15.0,baseline
2023-09-01,ENR-RBS,Red Bull Sugar Free,Energy Drink,2,3.75,7.5,baseline
2023-09-01,ENR-MTN,Monster Energy,Energy Drink,2,3.5,7.0,baseline
2023-09-01,ENR-CEL,Celsius,Energy Drink,4,3.25,13.0,baseline
2023-09-01,SFT-WAT,Water Bottle,Soft Drink,12,1.25,15.0,baseline
2023-09-01,SFT-COK,Coca-Cola,Soft Drink,6,1.75,10.5,baseline
2023-09-01,SFT-SPR,Sprite,Soft Drink,3,1.75,5.25,baseline
2023-09-01,SFT-DRP,Dr Pepper,Soft Drink,5,1.75,8.75,baseline
2023-09-01,SFT-LEM,Lemonade,Soft Drink,2,1.75,3.5,baseline
2023-09-01,SNK-CHC,Chocolate Chip Cookie,Baked Good,3,2.0,6.0,baseline
2023-09-01,SNK-BRW,Brownie,Baked Good,2,2.5,5.0,baseline
2023-09-01,SNK-SUG,Sugar Cookie,Baked Good,1,2.0,2.0,baseline
2023-09-01,SNK-PMP,Pumpkin Muffin,Baked Good,2,2.75,5.5,baseline
2023-09-01,SNK-RCK,Rice Krispie Treat,Baked Good,1,1.5,1.5,baseline
2023-09-01,CND-GUM,Orbit Gum,Candy & Gum,4,1.5,6.0,baseline
2023-09-01,CND-RBB,Sour Patch Kids,Candy & Gum,4,2.0,8.0,baseline
2023-09-01,CHP-LAY,Lays Classic,Chips,3,1.5,4.5,baseline
2023-09-01,CHP-DRT,Doritos Nacho,Chips,5,1.5,7.5,baseline
2023-09-01,CHP-PRT,Pretzels,Chips,1,1.25,1.25,baseline
2023-09-01,CHP-POP,Popcorn,Chips,1,1.25,1.25,baseline
2023-09-04,ITS-STR,Strawberry Italian Soda,Italian Soda,4,3.5,14.0,baseline
2023-09-04,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-09-04,ITS-BLU,Blueberry Italian Soda,Italian Soda,2,3.5,7.0,baseline
2023-09-04,DRK-MAT,Matcha Lemonade,Custom Drink,1,4.25,4.25,baseline
2023-09-04,DRK-STR,Strawberry Milk,Custom Drink,2,3.75,7.5,baseline
2023-09-04,ENR-RBU,Red Bull Original,Energy Drink,5,3.75,18.75,baseline
2023-09-04,ENR-RBS,Red Bull Sugar Free,Energy Drink,3,3.75,11.25,baseline
2023-09-04,ENR-MTN,Monster Energy,Energy Drink,3,3.5,10.5,baseline
2023-09-04,ENR-CEL,Celsius,Energy Drink,2,3.25,6.5,baseline
2023-09-04,SFT-WAT,Water Bottle,Soft Drink,9,1.25,11.25,baseline
2023-09-04,SFT-COK,Coca-Cola,Soft Drink,4,1.75,7.0,baseline
2023-09-04,SFT-SPR,Sprite,Soft Drink,1,1.75,1.75,baseline
2023-09-04,SFT-DRP,Dr Pepper,Soft Drink,1,1.75,1.75,baseline
2023-09-04,SFT-LEM,Lemonade,Soft Drink,1,1.75,1.75,baseline
2023-09-04,SNK-CHC,Chocolate Chip Cookie,Baked Good,3,2.0,6.0,baseline
2023-09-04,SNK-BRW,Brownie,Baked Good,1,2.5,2.5,baseline
2023-09-04,SNK-SUG,Sugar Cookie,Baked Good,2,2.0,4.0,baseline
2023-09-04,SNK-PMP,Pumpkin Muffin,Baked Good,2,2.75,5.5,baseline
2023-09-04,SNK-RCK,Rice Krispie Treat,Baked Good,2,1.5,3.0,baseline
2023-09-04,CND-GUM,Orbit Gum,Candy & Gum,1,1.5,1.5,baseline
2023-09-04,CND-RBB,Sour Patch Kids,Candy & Gum,3,2.0,6.0,baseline
2023-09-04,CND-SKT,Skittles,Candy & Gum,2,1.75,3.5,baseline
2023-09-04,CND-STB,Starburst,Candy & Gum,1,1.75,1.75,baseline
2023-09-04,CND-MNT,Altoids,Candy & Gum,1,2.0,2.0,baseline
2023-09-04,CHP-LAY,Lays Classic,Chips,5,1.5,7.5,baseline
2023-09-04,CHP-DRT,Doritos Nacho,Chips,6,1.5,9.0,baseline
2023-09-04,CHP-PRT,Pretzels,Chips,1,1.25,1.25,baseline
2023-09-04,CHP-POP,Popcorn,Chips,1,1.25,1.25,baseline
2023-09-05,ITS-STR,Strawberry Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-09-05,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,3,3.5,10.5,baseline
2023-09-05,ITS-BLU,Blueberry Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-09-05,ITS-PEA,Peach Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-09-05,DRK-MAT,Matcha Lemonade,Custom Drink,1,4.25,4.25,baseline
2023-09-05,ENR-RBU,Red Bull Original,Energy Drink,3,3.75,11.25,baseline
2023-09-05,ENR-RBS,Red Bull Sugar Free,Energy Drink,1,3.75,3.75,baseline
2023-09-05,ENR-CEL,Celsius,Energy Drink,2,3.25,6.5,baseline
2023-09-05,SFT-WAT,Water Bottle,Soft Drink,12,1.25,15.0,baseline
2023-09-05,SFT-COK,Coca-Cola,Soft Drink,5,1.75,8.75,baseline
2023-09-05,SFT-SPR,Sprite,Soft Drink,3,1.75,5.25,baseline
2023-09-05,SFT-DRP,Dr Pepper,Soft Drink,3,1.75,5.25,baseline
2023-09-05,SFT-LEM,Lemonade,Soft Drink,2,1.75,3.5,baseline
2023-09-05,SNK-CHC,Chocolate Chip Cookie,Baked Good,7,2.0,14.0,baseline
2023-09-05,SNK-BRW,Brownie,Baked Good,1,2.5,2.5,baseline
2023-09-05,SNK-SUG,Sugar Cookie,Baked Good,2,2.0,4.0,baseline
2023-09-05,SNK-PMP,Pumpkin Muffin,Baked Good,1,2.75,2.75,baseline
2023-09-05,SNK-RCK,Rice Krispie Treat,Baked Good,1,1.5,1.5,baseline
2023-09-05,CND-GUM,Orbit Gum,Candy & Gum,1,1.5,1.5,baseline
2023-09-05,CND-RBB,Sour Patch Kids,Candy & Gum,3,2.0,6.0,baseline
2023-09-05,CND-SKT,Skittles,Candy & Gum,1,1.75,1.75,baseline
2023-09-05,CND-MNT,Altoids,Candy & Gum,1,2.0,2.0,baseline
2023-09-05,CHP-DRT,Doritos Nacho,Chips,2,1.5,3.0,baseline
2023-09-05,CHP-PRT,Pretzels,Chips,2,1.25,2.5,baseline
2023-09-05,CHP-POP,Popcorn,Chips,1,1.25,1.25,baseline
2023-09-06,ITS-STR,Strawberry Italian Soda,Italian Soda,3,3.5,10.5,baseline
2023-09-06,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,3,3.5,10.5,baseline
2023-09-06,ITS-BLU,Blueberry Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-09-06,ITS-PEA,Peach Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-09-06,DRK-MAT,Matcha Lemonade,Custom Drink,3,4.25,12.75,baseline
2023-09-06,DRK-STR,Strawberry Milk,Custom Drink,1,3.75,3.75,baseline
2023-09-06,ENR-RBU,Red Bull Original,Energy Drink,5,3.75,18.75,baseline
2023-09-06,ENR-RBS,Red Bull Sugar Free,Energy Drink,4,3.75,15.0,baseline
2023-09-06,ENR-MTN,Monster Energy,Energy Drink,3,3.5,10.5,baseline
2023-09-06,SFT-WAT,Water Bottle,Soft Drink,9,1.25,11.25,baseline
2023-09-06,SFT-COK,Coca-Cola,Soft Drink,4,1.75,7.0,baseline
2023-09-06,SFT-SPR,Sprite,Soft Drink,5,1.75,8.75,baseline
